scorer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer
bodyparts,nose,nose,left_ear,left_ear,right_ear,right_ear,left_eye,left_eye,right_eye,right_eye,front_left_paw,front_left_paw,front_right_paw,front_right_paw,back_left_paw,back_left_paw,back_right_paw,back_right_paw
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\rat2-lps2\frame1309.png,,,,,674.1268294900154,481.21383897457645,,,,,,,,,,,,
labeled-data\rat2-lps2\frame30.png,,,,,670.8687464016241,482.8428805187721,,,,,,,,,,,,
labeled-data\rat2-lps2\frame403.png,,,,,670.8687464016241,486.10096360716335,,,,,,,,,,,,
labeled-data\rat2-lps2\frame413.png,,,,,670.8687464016241,484.47192206296774,,,,,,,,,,,,
labeled-data\rat2-lps2\frame648.png,,,,,674.1268294900154,481.21383897457645,,,,,,,,,,,,
labeled-data\rat2-lps2\frame706.png,,,,,674.1268294900154,481.21383897457645,,,,,,,,,,,,
labeled-data\rat2-lps2\frame715.png,,,,,674.1268294900154,481.21383897457645,,,,,,,,,,,,
labeled-data\rat2-lps2\frame779.png,,,,,672.4977879458198,484.47192206296774,,,,,,,,,,,,
labeled-data\rat2-lps2\frame787.png,,,,,672.4977879458198,484.47192206296774,,,,,,,,,,,,
labeled-data\rat2-lps2\frame850.png,,,,,672.4977879458198,484.47192206296774,,,,,,,,,,,,
